Id,Title,Magazines publications,Book publications,Post-conference publications,Equipment,Equipment cost,Equipment count,Manager,Managers title,Unit,Voivodeship
2013/09/N/HS6/02835,Neuronalne podłoże wyobrażanej barwy dźwięku. Badania ERP.,2,0,0,System do przetwarzania i odtwarzania dźwięku,4800,1,Przemysław Tużnik,mgr,"Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Nauk Społecznych",lubelskie
2013/09/N/HS6/02877,Neurobiologiczne i poznawcze korelaty różnic indywidualnych w instruowanym i nieinstruowanym kłamaniu.,3,0,0,program Presentation,3754,1,Justyna Sarzyńska,dr,"SWPS Uniwersytet Humanistycznospołeczny w Warszawie, Wydział Psychologii",mazowieckie
2013/09/N/HS6/02941,Wpływ sposobu przesłuchania na pewność pamięci u seniorów. Związek trafności i pewności pamięci w zeznaniach osób po 65 r.ż.,1,0,0,"Projektor przenośny, Kamera cyfrowa",2754,2,Karolina Dukała,dr,"Uniwersytet Jagielloński, Wydział Filozoficzny",małopolskie
2013/09/N/HS6/03434,Uwarunkowania skuteczności treningu poznawczego z wykorzystaniem gier komputerowych.,0,0,0,,0,0,Maciej Skorko,mgr,Instytut Psychologii PAN,mazowieckie
2013/11/N/HS2/03296,Powszechna Wystawa Krajowa we Lwowie w 1894. Monografia z zakresu historii kultury,0,1,0,,0,0,Wojciech Puchta,mgr,"Uniwersytet Wrocławski, Wydział Nauk Historycznych i Pedagogicznych",dolnośląskie
2013/11/N/HS4/03144,Bezdzietność i rodzicielstwo par a ich status społeczno-ekonomiczny w wybranych krajach europejskich - analiza bayesowska,4,0,0,Komputer przenośny (laptop),5350,1,Beata Osiewalska,mgr,"Uniwersytet Ekonomiczny w Krakowie, Wydział Zarządzania",małopolskie
2014/13/N/HS6/03770,"Małżeństwa mieszane a ""asymetria płci"". Wzory integracji i mobilności społeczno-ekonomicznej imigrantów w Polsce i Wielkiej Brytanii",2,0,0,,0,0,Anita Brzozowska,mgr,"Uniwersytet Warszawski, Ośrodek Badań nad Migracjami",mazowieckie
2014/13/N/HS3/04588,Mennictwo księcia polskiego Bolesława III Krzywoustego,2,1,1,,0,0,Grzegorz Śnieżko,mgr,Instytut Archeologii i Etnologii PAN,mazowieckie
2014/13/N/HS4/03625,Fundusze węglowe jako podmiot realizacji polityki klimatycznej,2,1,0,laptop,5035,1,Klaudia Jarno,dr,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Ekonomii",wielkopolskie
2013/11/N/HS5/04210,Uwarunkowania procesu demokratyzacji na Bliskim Wschodzie - przypadek Jordanii,3,0,0,,0,0,Artur Malantowicz,mgr,"Uniwersytet Warszawski, Wydział Nauk Politycznych i Studiów Międzynarodowych",mazowieckie
2014/15/N/HS1/02447,Co to jest populacja? Darwinowska perspektywa,1,0,0,,0,0,Adrian Stencel,mgr,"Uniwersytet Jagielloński, Wydział Filozoficzny",małopolskie
2013/11/N/HS5/04106,Handlowe aspekty własności intelektualnej a wspólna polityka handlowa. Problem kompetencji wyłącznych UE w odniesieniu do zdolności patentowej wynalazków według artykułu 27 Porozumienia w sprawie handlowych aspektów własności intelektualnej (TRIPS),3,0,0,,0,0,Anna Wilińska-Zelek,mgr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Politycznych i Dziennikarstwa",wielkopolskie
2014/13/N/HS3/04533,Administracja lokalna u schyłku I Rzeczpospolitej. Komisje Porządkowe Cywilno-Wojskowe województwa krakowskiego w dobie Sejmu Wielkiego.,2,4,1,,0,0,Przemysław Jędrzejewski,mgr,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie, Wydział Humanistyczny",małopolskie
2014/13/N/HS3/04616,Dwa nieopublikowane zwoje papirusowe z kolekcji w Giessen (P.Giss. inv. 59 i P.Giss. inv. 216): Rekonstrukcja i edycja wraz z komentarzem.,0,1,0,,0,0,Marcin Kotyl,mgr,"Uniwersytet Wrocławski, Wydział Filologiczny",mazowieckie
2013/11/N/HS4/03194,Ekonomiczne determinanty rozwoju sektora biopaliw płynnych w Polsce i Niemczech po 2004 roku. Próba porównania.,4,1,0,,0,0,Michał Borychowski,mgr,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Ekonomii",wielkopolskie
