id,type,edition,subpanel,budget,duration,coinvestigators,title,magazines publications,book publications,post-conference publications,equipment,equipment cost,equipment count,sex,manager,managers title,unit,voivodeship
2011/01/N/ST5/05595,PRELUDIUM,1,ST5,170150,36,2,Modyfikacja powierzchniowa mezoporowatych replik węglowych w kierunku wygenerowania aktywności katalitycznej w reakcji utleniającego odwodornienia etylobenzenu do styrenu,2,0,12,"Zestaw masowych regulatorów przepływu, Stanowisko do syntezy oraz modyfikacji replik węglowych (Termostat cyrkulacyjny)",19998,2,0,Paula Janus,mgr,"Uniwersytet Jagielloński",małopolskie
2011/01/N/ST5/05609,PRELUDIUM,1,ST5,66000,18,2,"Struktura, stabilność i aktywność katalityczna nanorozmiarowych mieszanych tlenków Ce1-xMxO2-y (M-metal przejściowy)",3,0,0,,0,0,0,Michalina Kurnatowska,mgr inż.,"Instytut Niskich Temperatur i Badań Strukturalnych PAN",dolnośląskie
2011/01/N/ST5/05612,PRELUDIUM,1,ST5,143000,24,2,Zbadanie procesów konwersji promieniowania indukowanych impulsami femtosekundowymi w dielektrycznych materiałach tlenkowych i halogenkowych domieszkowanych jonami lantanowców.,2,0,0,Komputer osobisty,2290,1,1,Adam Strzęp,mgr,"Instytut Niskich Temperatur i Badań Strukturalnych PAN",dolnośląskie
2011/01/N/ST5/05613,PRELUDIUM,1,ST5,250000,24,4,Porfiryny w reakcji Huisgena - czy insercja miedzi jest nieunikniona?,1,0,0,"MANOMETR I KONTROLER PRÓŻNI DO WYPAREK, KOMPUTER, SPEKTROFOTOMETR UV Vis",23185,3,1,Mikołaj Chromiński,mgr inż.,"Instytut Chemii Organicznej PAN",mazowieckie
2011/01/N/ST5/05615,PRELUDIUM,1,ST5,175890,18,2,Organiczny material electroaktywny do budowy ogniw fotowoltaicznych,3,0,0,"Czujnik potencjału powierzchniowego do wanny Langmiura, Współudział w zakupie potencjostatu",31280,2,1,Ievgen Obraztsov,mgr inż.,"Instytut Chemii Fizycznej PAN",mazowieckie
2011/01/N/ST5/05633,PRELUDIUM,1,ST5,150000,18,2,Wydajna synteza enancjomerycznie czystych trans-A2B2-porfiryn i biokatalityczny rozdział alkoholi pierwszorzędowych,3,0,0,"autosampler do GC, wirówka, pehametr, wytrząsarka, mieszadło magnetyczne, pipeta automatyczna",56113,6,0,Agnieszka Nowak-Król,dr inż.,"Instytut Chemii Organicznej PAN",mazowieckie
2011/01/N/ST5/05638,PRELUDIUM,1,ST5,128750,24,3,Funkcjonalizacja cząsteczek POSS® (Polyhedral Oligomeric Silsesquioxanes) za pomocą metatezy krzyżowej olefin.,1,0,1,"Mieszadło magnetyczne, Mieszadło magnetyczne, Naczynia typu Schlenka (5 szt.)",10110,3,0,Justyna Czaban,mgr,"Instytut Chemii Organicznej PAN",mazowieckie
2011/01/N/ST5/05639,PRELUDIUM,1,ST5,180000,30,4,"Projektowanie, otrzymywanie i właściwości nowych materiałów hybrydowych opartych na kwasach pirydylofosfonowych.",1,0,0,"Reaktor ciśnieniowy (4 szt.), Wyparka obrotowa, Programowalna suszarka z wymuszonym obiegiem powietrza, Laptop, Profesjonalny pH-metr wyposażony w cienką elektrodę",69230,5,0,Magdalena Wilk,mgr inż.,"Politechnika Wrocławska",dolnośląskie
2011/01/N/ST5/05642,PRELUDIUM,1,ST5,296200,36,4,Badanie oddziaływań ludzkiej cystatyny C z przeciwciałami jako metoda skutecznej walki z dziedziczną amyloidową angiopatią mózgową typu islandzkiego,2,0,0,"Aparat do elektroforezy horyzontalnej agarozowej, Komputer, Zestaw do testu ELISA, Aparat do elektroforezy poliakrylamidowej w warunkach denaturujących (SDS-PAGE)",11145,4,0,Izabela Behrendt,mgr,"Uniwersytet Gdański",pomorskie
2011/01/N/ST6/00573,PRELUDIUM,1,ST6,78800,36,2,Sieci gaussowskie i sieci przekonań w bayesowskiej adaptacji i optymalizacji schematów zachowań,0,3,0,"Przenośny komputer osobisty (netbook), Procesor graficzny",1574,2,1,Michał Matuszak,dr,"Uniwersytet Mikołaja Kopernika",kujawsko-pomorskie
2011/01/N/ST6/00922,PRELUDIUM,1,ST6,44400,24,2,Badanie własności koalicji i zbiorów bezpiecznych w grafach rozumianych jako podzbiory wierzchołków spełniające określone warunki.,4,0,0,,0,0,0,Katarzyna Jesse-Józefczyk,mgr,"Uniwersytet Zielonogórski",lubuskie
2011/01/N/ST6/00995,PRELUDIUM,1,ST6,74500,24,2,Ścisła numeryka oraz dowody wspierane komputerowo dla dysypatywnych równań różniczkowych cząstkowych.,3,0,0,Notebook Dell XPS L502X poz.132/12/x19,3000,1,1,Jacek Cyranka,mgr,"Uniwersytet Jagielloński",małopolskie
2011/01/N/ST6/01107,PRELUDIUM,1,ST6,224550,24,4,Automatyczne wykrywanie i korekcja błędów anotacyjnych w polskich korpusach językowych,0,0,3,"Dysk zewnętrzny, Notebook",5374,2,1,Łukasz Kobyliński,dr inż.,"Instytut Podstaw Informatyki PAN",mazowieckie
2011/01/N/ST6/01438,PRELUDIUM,1,ST6,65000,24,2,Metody odwzorowywania ontologii uwzględniające semantykę i wartościowanie atrybutów,2,0,3,,0,0,1,Marcin Pietranik,mgr inż.,"Politechnika Wrocławska",dolnośląskie
2011/01/N/ST6/01803,PRELUDIUM,1,ST6,42000,12,2,Inteligentny system szeregowania zadań produkcyjnych w warunkach niepewności przedziałowej,3,0,0,"Drukarka HP LaserJet P2050, Notebook DELL XPS 15 L502X, Dysk zewnętrzny PQI Turbo Boost 500GB",5582,3,1,Marcin Siepak,mgr inż.,"Politechnika Wrocławska",dolnośląskie
2011/01/N/ST6/01931,PRELUDIUM,1,ST6,51220,24,2,Bezskalowaść i fenomen małego świata w grafach przepływu informacji w geometrycznych sieciach neuronowych,2,0,3,"Komputer przenośny, Komputer stacjonarny + monitor",6531,2,1,Jarosław Piersa,dr,"Uniwersytet Mikołaja Kopernika",kujawsko-pomorskie
2011/01/N/ST6/02032,PRELUDIUM,1,ST6,45900,30,2,Wydajne algorytmy parsowania dla języków o szyku swobodnym,1,0,1,Sprzęt komputerowy,2595,1,1,Paweł Skórzewski,mgr,"Uniwersytet im. Adama Mickiewicza w Poznaniu",wielkopolskie
2011/01/N/ST6/02752,PRELUDIUM,1,ST6,120180,24,3,Analiza i opracowanie metod eksploracji procesów w oparciu o algorytmy szkieletowe,3,0,4,"Laptop Intel Core i7, 4GB RAM, ekran 17’",5750,1,1,Adam Przybyłek,dr,"Uniwersytet Warszawski",mazowieckie
2011/01/N/ST6/04174,PRELUDIUM,1,ST6,98000,24,2,Metoda oceny wyrazistości struktury skupień,3,0,0,"Lekki komputer przenośny, z dużą matrycą (przynajmniej 15.4""), z wydajnym 4 rdzeniowym procesorem i możliwością rozbudowy pamięci RAM do 8 GB.",7712,1,0,Ewa Nowakowska,dr,"Instytut Podstaw Informatyki PAN",mazowieckie
2011/01/N/ST6/04205,PRELUDIUM,1,ST6,78240,30,2,Metoda rekomendacji RMV dla doboru partnerów i usług w inkubatorach wirtualnych organizacji oparta na technikach eksploracji procesów,3,0,3,,0,0,1,Zbigniew Paszkiewicz,dr inż.,"Uniwersytet Ekonomiczny w Poznaniu",wielkopolskie
2011/01/N/ST6/05231,PRELUDIUM,1,ST6,56800,36,1,Analiza numeryczna sztucznej hipertermii z wykorzystaniem różnych modeli przepływu biociepła,5,2,5,Komputer PC,9150,1,1,Łukasz Turchan,dr inż.,"Politechnika Śląska",śląskie
2011/01/N/ST6/05976,PRELUDIUM,1,ST6,63750,24,2,Modelowanie koagulacji i fibrynolizy krwi uwzględniające zjawiska i procesy fizjologiczne.,0,0,0,,0,0,0,Aleksandra Jakubowicz,mgr inż.,"Akademia Górniczo-Hutnicza w Krakowie",małopolskie
2011/01/N/ST6/06762,PRELUDIUM,1,ST6,319800,30,3,"Opracowanie, zaprojektowanie i implementacja metod, algorytmów i narzędzi do replikacji transakcyjnej dla rozproszonej pamięci transakcyjnej; analiza własności i walidacja pod kątem efektywności, odporności na awarie i skalowalności",1,0,3,,0,0,1,Tadeusz Kobus,mgr inż.,"Politechnika Poznańska",wielkopolskie
2011/01/N/ST6/06794,PRELUDIUM,1,ST6,105550,24,2,Kompletność zdarzeniowa przypadków użycia,1,0,2,Notebook MacBook Air z AppleAirport Express,6914,1,1,Jakub Jurkiewicz,dr inż.,"Politechnika Poznańska",wielkopolskie
2011/01/N/ST6/06964,PRELUDIUM,1,ST6,111600,25,2,Nowe metody weryfikacji tożsamości na podstawie dynamicznych cech podpisu odręcznego z wykorzystaniem wybranych metod sztucznej inteligencji,2,0,4,"Wydajny komputer przenośny (notebook), Kolorowa drukarka laserowa, Baza danych testowych zawierająca podpisy dynamiczne, Urządzenie mobilne typu smartphone",16744,4,1,Marcin Zalasiński,mgr inż.,"Politechnika Częstochowska",śląskie
2011/01/N/ST6/07035,PRELUDIUM,1,ST6,92300,36,2,Rozwój i analiza uogólnień metody lasu losowego,3,2,0,,0,0,1,Miron Kursa,mgr,"Uniwersytet Warszawski",mazowieckie
2011/01/N/ST6/07173,PRELUDIUM,1,ST6,93600,24,2,DMG-α - zastosowanie metod geometrii obliczeniowej w analizie dynamiki biologicznych systemów molekularnych.,1,0,1,Laptop Lenovo ThinkPad W520 NY427GB168IE,10399,1,1,Robert Szczelina,mgr,"Uniwersytet Jagielloński",małopolskie
2011/01/N/ST6/07202,PRELUDIUM,1,ST6,78412,24,2,Wielopoziomowa klasyfikacja ruchu w sieci Internet,3,0,1,,0,0,1,Paweł Foremski,mgr inż.,"Instytut Informatyki Teoretycznej i Stosowanej PAN",śląskie
2011/01/N/ST6/07387,PRELUDIUM,1,ST6,66300,24,2,Badania nad jakością i bezpieczeństwem transmisji czasu rzeczywistego wspieranej systemem agentowym oraz reputacją,1,1,1,"tablet ipad, laptop",2099,2,1,Grzegorz Oryńczak,mgr,"Uniwersytet Jagielloński",małopolskie
2011/01/N/ST7/01256,PRELUDIUM,1,ST7,271700,24,2,Niskoszumne scalone układy elektroniki odczytu o architekturze pikselowej dla potrzeb rejestracji sygnałów neurobiologicznych.,5,0,11,nie planowano zakupu aparatury,0,1,1,Piotr Kmon,dr inż.,"Akademia Górniczo-Hutnicza w Krakowie",małopolskie
2011/01/N/ST7/02049,PRELUDIUM,1,ST7,223350,24,3,"p, li { white-space: pre-wrap; } Rozwój metody funkcji transwersalnych w zastosowaniu do sterowania układami nieholonomicznymi",0,0,1,"obiektyw 25 mm, F1.4, Megapixel, Computar, źródło oświetlenia Ring Light (red), Laptop, Komputer, Smart Camera NI 1764 wraz ze źródłem zasilania",25509,5,1,Władysław Magiera,mgr inż.,"Politechnika Wrocławska",dolnośląskie
2011/01/N/ST7/02070,PRELUDIUM,1,ST7,119560,18,3,Poruszanie się sześcionożnego robota kroczącego po podatnym gruncie wspierane wielomodowym systemem sensorycznym.,3,0,3,"Sześcioosiowy czujnik siła-moment (2 szt.), Inercyjna jednostka pomiarowa, Trójosiowy czujnik siła-moment",62531,3,1,Krzysztof Walas,dr inż.,"Politechnika Poznańska",wielkopolskie
2011/01/N/ST7/02080,PRELUDIUM,1,ST7,45750,18,3,Nowa metoda planowania ruchu robota kroczącego po nierównym terenie oraz jej weryfikacja eksperymentalna,5,3,3,Czujnik AHRS Xsense MTi development kit,10000,1,1,Dominik Belter,dr inż.,"Politechnika Poznańska",wielkopolskie
2011/01/N/ST7/02198,PRELUDIUM,1,ST7,75600,24,2,Opracowanie metod analizy cyklostacjonarnej do przetwarzania sygnałów wibroakustycznych pochodzących ze źródeł o niestacjonarnym charakterze pracy,2,0,0,Komputer przenośny wyposażony w kartę graficzna wspierającą technologię CUDA,5750,1,1,Jacek Urbanek,dr inż.,"Akademia Górniczo-Hutnicza w Krakowie",małopolskie
2011/01/N/ST7/02424,PRELUDIUM,1,ST7,140760,30,2,"Wielopoziomowy falownik napięcia z poziomowaniem diodowym (NPC) zasilany z wyodrębnionych alternatywnych źródeł energii, pracujących przy różnych wartościach mocy maksymalnej (MPP)",1,1,1,"Oscyloskop cyfrowy, Podzespoły elektryczne i elementy konstrukcyjne niezbędne do budowy laboratoryjnego, energoelektronicznego przekształtnika energii, Panele fotowoltaiczne (6 szt.), Sprzęt komputerowy – laptop wraz z systemem operacyjnym, Zasilacz stałonapięciowy i multimetr cyfrowy, Sonda prądowa",63314,6,1,Miłosz Szarek,mgr inż.,"Akademia Górniczo-Hutnicza w Krakowie",małopolskie
2011/01/N/ST7/02995,PRELUDIUM,1,ST7,156000,36,2,Lekkie protokoły kryptograficzne ustanawiania kluczy w komunikacji grupowej.,5,0,1,,0,0,1,Paweł Szałachowski,dr,"Politechnika Warszawska",mazowieckie
2011/01/N/ST7/03383,PRELUDIUM,1,ST7,26000,12,2,METODYKA SPECYFIKACJI UKŁADÓW STEROWANIA ROBOTÓW WYKORZYSTUJĄCYCH PARADYGMAT AKTYWNEJ WIZJI DO IDENTYFIKACJI OBIEKTÓW,1,1,0,,0,0,1,Tomasz Kornuta,mgr inż.,"Politechnika Warszawska",mazowieckie
2011/01/N/ST7/04544,PRELUDIUM,1,ST7,83000,24,3,Predykcyjna regulacja prędkości i położenia w dwumasowym napędzie indukcyjnym w szerokim zakresie zmian prędkości,2,1,4,"Zestaw Komputer PC wraz z urządzeniami peryferyjnymi: drukarka laserowa, dysk przenośny, Kontroler czasu rzeczywistego",17429,2,1,Piotr Serkies,dr inż.,"Politechnika Wrocławska",dolnośląskie
2011/01/N/ST7/05235,PRELUDIUM,1,ST7,88520,18,1,Odczyt sygnałów elektrycznych z wielokanałowych sensorów promieniowania optycznego,0,0,1,"Opracowanie stanowiska badawczego, Zespół układów scalonych do odczytu sygnałów elektrycznych z detektorów promieniowania (25 szt.)",20337,2,1,Łukasz Kotynia,mgr inż.,"Politechnika Łódzka",łódzkie
2011/01/N/ST7/05242,PRELUDIUM,1,ST7,79560,24,1,Mikroarchitektura elementów obliczeniowych dla rekonfigurowalnego procesora ogólnego przeznaczenia,0,0,1,,0,0,1,Piotr Amrozik,dr inż.,"Politechnika Łódzka",łódzkie
2011/01/N/ST7/05391,PRELUDIUM,1,ST7,94270,17,2,Analiza kształtu sygnałów tętna gałkowego i aktywności układu sercowo-naczyniowego w celu oszacowania estymatorów parametrów hemodynamicznych oka pod kątem diagnostyki jaskry.,1,1,0,Notebook Leovo Thinpad T420,5889,1,0,Monika Danielewska,mgr inż.,"Politechnika Wrocławska",dolnośląskie
2011/01/N/ST7/05940,PRELUDIUM,1,ST7,125760,24,4,"Uogólniony, wielorobotowy schemat rozszerzonego, wizyjnego systemu równoczesnej lokalizacji i budowy mapy",3,0,5,Stanowiska do śledzenia ruchu robotów mobilnych podczas kooperacyjnej eksploracji pomieszczeń składające się z zespołu kamer podsufitowych oraz dwóch robotów mobilnych wyposażonych w kamery przemysłowe,53471,1,1,Adam Schmidt,mgr inż.,"Politechnika Poznańska",wielkopolskie
2011/01/N/ST7/06050,PRELUDIUM,1,ST7,26000,12,2,Projektowanie i specyfikacja układów sterowania systemami wielorobotowymi,0,0,1,,0,0,1,Piotr Trojanek,mgr inż.,"Politechnika Warszawska",mazowieckie
2011/01/N/ST7/06476,PRELUDIUM,1,ST7,136480,24,3,Budowa szerokokątnego systemu wyświetlacza holograficznego wykorzystującego przestrzenne modulatory światła.,1,0,2,przełącznik światłowodowy,7239,1,1,Grzegorz Finke,mgr inż.,"Politechnika Warszawska",mazowieckie
2011/01/N/ST7/06625,PRELUDIUM,1,ST7,58660,12,2,Ocena dynamiki serca na potrzeby terapii resynchronizującej - badania symulacyjne,0,0,3,COMSOL Multiphysics + AC/DC Module,12177,1,0,Magdalena Madej,mgr inż.,"Politechnika Gdańska",pomorskie
2011/01/N/ST7/06687,PRELUDIUM,1,ST7,81450,18,2,Rekonfigurowalna implementacja modułów sprzętowych do przetwarzania i analizy złożonych sygnałów wizyjnych.,3,0,5,"Platforma obliczeniowa FPGA wyposażona w interfejsy wejścia/wyjścia do wprowadzania obrazu, Komputer osobisty, przenośny, jako stacja projektowa, przydatna do testowania algorytmów w terenie, wyposażona w duży zasób pamięci i wydajny procesor (laptop) wraz z dodatkowymi akcesoriami, Kamera wraz z obiektywem wyposażona w cyfrowy interfejs do wysokowydajnej transmisji strumienia obrazu (2 szt.), Monitor LCD do wizualizacji obrazu 24"", Dysk twardy SSD, Pakiet oprogramowania Adobe wspomagający edycję materiałów wideo, Pakiet biurowy MS Office Standard 2013",30969,7,1,Tomasz Kryjak,dr inż.,"Akademia Górniczo-Hutnicza w Krakowie",małopolskie
2011/01/N/ST7/06690,PRELUDIUM,1,ST7,80000,24,3,Analiza wpływu wysiłku fizycznego na zmiany kształtu sygnału EKG z wykorzystaniem 67-kanałowego systemu do akwizycji sygnałów EKG o wysokiej rozdzielczości.,3,0,7,Notebook Dell XPS l502x,6309,1,1,Michał Kania,mgr inż.,"Instytut Biocybernetyki i Inżynierii Biomedycznej im. Macieja Nałęcza PAN",mazowieckie
2011/01/N/ST7/06779,PRELUDIUM,1,ST7,219900,24,6,Weryfikacja techniczna oraz określenie zakresu przydatności inteligentnych ubrań w warunkach domowych,2,0,5,"Podzespoły elektroniczne, mierniki cyfrowe, sesnory paramterów fizjologicznych (191 szt.), Komputer wraz z oprogramowaniem, Smarthone",29109,3,1,Eliasz Kańtoch,dr inż.,"Akademia Górniczo-Hutnicza w Krakowie",małopolskie
2011/01/N/ST7/06783,PRELUDIUM,1,ST7,131700,36,2,Wykorzystanie metod przetwarzania obrazów i sztucznej inteligencji (systemy ekspertowe) w rozpoznawaniu i diagnostyce różnicowej czerniaka złośliwego,6,2,4,Laptop,3460,1,0,Joanna Jaworek-Korjakowska,dr inż.,"Akademia Górniczo-Hutnicza w Krakowie",małopolskie
2011/01/N/ST7/06791,PRELUDIUM,1,ST7,82300,24,3,Badanie zjawisk fizycznych dotyczących ciernego przenisienia napędu i fuzji danych w zadajniku położenia o nieograniczonym zakresie ruchów kątowych.,1,0,0,"stanowisko komputerowe (komputer klasy PC, przejściówka CAN-USB, myszka 3D), napędy, łożyska i czujniki",23179,2,1,Paweł Żak,mgr inż.,"Politechnika Łódzka",łódzkie
2011/01/N/ST7/06812,PRELUDIUM,1,ST7,109537,24,2,Teoria filtrów szerokopasmowych z rezonatorami sprzężonymi bezpośrednio,0,0,4,komputer przenośny,5582,1,1,Mateusz Żukociński,mgr inż.,"Politechnika Warszawska",mazowieckie
2011/01/N/ST8/01894,PRELUDIUM,1,ST8,258050,36,2,Zunifikowana strategia sterowania dynamicznego oparta o funkcję błędu,1,0,5,,0,0,1,Paweł Sanjuan Szklarz,mgr,"Politechnika Warszawska",mazowieckie
2011/01/N/ST8/02323,PRELUDIUM,1,ST8,62400,20,1,Kinetyka kontrolowanego uwalniania leków z filmów biopolimerowych o złożonej strukturze.,1,0,2,,0,0,0,Iwona Michalak,mgr inż.,"Politechnika Łódzka",łódzkie
2011/01/N/ST8/02413,PRELUDIUM,1,ST8,67500,36,3,Koncepcja usuwania wybranych mikrozanieczyszczeń o estrogenicznej aktywności biologicznej ze ścieków komunalnych oczyszczonych metodą osadu czynnego w układzie zintegrowanym proces sorpcji-ciśnieniowe techniki membranowe,7,5,0,,0,0,0,Gabriela Kamińska,mgr inż.,"Politechnika Śląska",śląskie
2011/01/N/ST8/02525,PRELUDIUM,1,ST8,46020,18,2,Nowa koncepcja sterowania samolotem wysoko-manewrowym,0,0,3,,0,0,0,Agnieszka Kwiek,mgr inż.,"Politechnika Warszawska",mazowieckie
2011/01/N/ST8/02534,PRELUDIUM,1,ST8,146160,36,2,Możliwości i ograniczenia obliczeniowego wyznaczania warunków cieplno-wilgotnościowych w budynkach historycznych,1,0,0,"Laptop, Miernik kierunku i prędkości wiatru, komputer stacjonarny, Komputer stacjonarny z monitorem, Miernik promieniowania słonecznego, Pyranometr, Pirometr",27759,7,0,Agnieszka Sadłowska-Sałęga,dr inż.,"Uniwersytet Rolniczy w Krakowie",małopolskie
2011/01/N/ST8/02544,PRELUDIUM,1,ST8,79450,30,2,Dynamika belki sandwiczowej,3,0,1,"Komputer - notebook, Drukarka- urządzenie wielofunkcyjne",4984,2,0,Katarzyna Misiurek,mgr inż.,"Politechnika Wrocławska",dolnośląskie
2011/01/N/ST8/02566,PRELUDIUM,1,ST8,64632,20,2,Zastosowanie teorii niezawodności z koncepcją najsłabszego ogniwa do szacowania trwałości zmęczeniowej stalowych złączy spawanych,3,0,4,,0,0,1,Łukasz Blacha,mgr inż.,"Politechnika Opolska",opolskie
2011/01/N/ST8/02571,PRELUDIUM,1,ST8,64200,18,2,Skalowanie zjawisk przepływowych w kotłach z cyrkulacyjną warstwą fluidalną,0,0,0,Inteligentne przetworniki róznicy cisnień APR-LW (4 szt.),0,1,0,Jolanta Ziaja,mgr inż.,"Politechnika Częstochowska",śląskie
2011/01/N/ST8/02648,PRELUDIUM,1,ST8,100000,24,2,Zależność właściwości optycznych przezroczystej ceramiki granatu itrowo-glinowego domieszkowanego tulem (Tm:YAG) od jej mikrostruktury wynikającej z warunków spiekania metodą reakcyjną.,5,0,2,komputer wraz z oprogramowaniem,2403,1,0,Agata Sidorowicz,mgr inż.,"Instytut Technologii Materiałów Elektronicznych",mazowieckie
2011/01/N/ST8/03552,PRELUDIUM,1,ST8,69050,36,3,Stateczność podwójnie giętych konstrukcji cienkościennych,5,1,2,,0,0,1,Robert Cybulski,mgr inż.,"Politechnika Śląska",śląskie
2011/01/N/ST8/03658,PRELUDIUM,1,ST8,135750,30,2,Opracowanie trójwymiarowego modelu i oprogramowania opartego o frontalne automaty komórkowe do modelowania rozwoju mikrostruktury w procesie walcowania oraz cyfrowej reprezentacji materiałów,7,0,5,zestaw komputerowy,7030,1,1,Łukasz Łach,dr inż.,"Akademia Górniczo-Hutnicza w Krakowie",małopolskie
2011/01/N/ST8/04109,PRELUDIUM,1,ST8,208800,24,5,Badania niskostratnego sposobu łączenia włókien optycznych i wykonywania wybranych komponentów światłowodowych,1,0,2,"Zestaw do wstępnej obróbki światłowodów, Program Mathcad 15.0 licencja edukacyjna, jednostanowiskowa, Miernik mocy optycznej FPM-302X wraz z wyposażeniem, Program Origin Pro 8.6 licencja edukacyjna, jednostanowiskowa, Komputer przenośny - laptop Asus Eee PC 1225B",20694,5,0,Maria Michalska,mgr inż.,"Wojskowa Akademia Techniczna",mazowieckie
2011/01/N/ST8/04280,PRELUDIUM,1,ST8,86480,36,2,Efektywność wzmacniania zabytkowych murów kamiennych z zastosowaniem nowoczesnych technologii akceptowalnych z punktu widzenia konserwatorskiego.,1,0,0,"Zestaw indukcyjnych czujników przemieszczeń (6 szt.), komputer PC ( Dell Latitude e6530), czujniki zegarowe do pomiaru przemieszczeń (8 szt.)",20699,3,1,Witold Misztal,mgr inż.,"Politechnika Wrocławska",dolnośląskie
2011/01/N/ST8/04375,PRELUDIUM,1,ST8,197500,36,4,Badania sterylizacyjnego wpływu wyładowań koronowych na folię opakowaniową z polilaktydu,2,0,0,Stanowisko badawcze: komora Suntest CPS+,60729,1,0,Magdalena Stepczyńska,dr inż.,"Uniwersytet Kazimierza Wielkiego",kujawsko-pomorskie
2011/01/N/ST8/04397,PRELUDIUM,1,ST8,321500,36,7,Autokatalityczne metalizowanie polilaktydu.,5,0,0,Stanowisko do wytwarzania próbek metodą wtryskiwania,113692,1,1,Krzysztof Moraczewski,dr inż.,"Uniwersytet Kazimierza Wielkiego",kujawsko-pomorskie
2011/01/N/ST8/04636,PRELUDIUM,1,ST8,63110,30,2,Modelowanie i optymalizacja kadłuba pływającego pojazdu gąsienicowego,4,0,4,,0,0,1,Gabriel Mura,mgr inż.,"Politechnika Śląska",śląskie
2011/01/N/ST8/04975,PRELUDIUM,1,ST8,64000,24,2,Właściwości adhezyjne warstw różnorodnych materiałów naniesionych metodą niskociśnieniowego natryskiwania na zimno,6,0,0,,0,0,1,Marcin Winnicki,mgr inż.,"Politechnika Wrocławska",dolnośląskie
2011/01/N/ST8/05181,PRELUDIUM,1,ST8,196300,24,4,Metoda fizycznego odklejania włókien z roślin łykowych,2,0,2,"Rozbudowa istniejącej modelowej instalacji - wykonanie i zaprojektowanie ""reaktora"", Waga analityczna typ ABT 220-4M wraz z stołem antywibracyjnym typ YPS-01",47779,2,0,Wanda Konczewicz,mgr,"Instytut Włókien Naturalnych i Roślin Zielarskich",wielkopolskie
2011/01/N/ST8/05239,PRELUDIUM,1,ST8,175500,15,6,Fizykochemiczna i mikrostrukturalna analiza zjawisk oddziaływania atmosfery obróbczej z zabezpieczeniami ochronnymi w procesach nawęglania próżniowego.,1,1,1,-,0,1,1,Sylwester Pawęta,mgr,"Politechnika Łódzka",łódzkie
2011/01/N/ST8/05300,PRELUDIUM,1,ST8,218608,24,3,Oczyszczanie wody z mikroorganizmów za pomocą plazmy wyładowań elektrohydraulicznych.,2,0,3,"Sonda Hi Voltage, Spektrofotometr METERTECH, Waga laboratoryjna",30402,3,1,Tomasz Izdebski,mgr inż.,"Instytut Maszyn Przepływowych im. Roberta Szewalskiego PAN",pomorskie
2011/01/N/ST8/06840,PRELUDIUM,1,ST8,199029,20,3,Badania wpływu modyfikacji powierzchniowej przędz na właściwości elektroprzewodzące,2,0,2,"Doposażenie do stanowiska pomiarowego, zestawu rejestrujacego (Karta National Instrumen+miernik rezystancji izolacji MIC-5000 firmy Sone) ), Doposażenie stanowiska pomiarowego w celu akwizycji danych do programu komputerowego usługi mechaniczne, usługi elektryczne, zakup elementów elektryczno-mechaniczno-konstrukcyjnych), Zestaw rejestrujący (multimetr Rigol DM3068l, zasilacz laboratoryjny Matrix MPS-3003L-3), Stół do stanowiska pomiarowego (materiały mechaniczno-konstrukcyjne), Stanowisko pomiarowe (materiały mechaniczno-konstrukcyjne), Doposarzenie do stanowiska pomiarowego ( elementy oporowe) (14 szt.), Doposażenie do stanowiska pomiarowego - filtr przepięciowy (medium elektroprzewodzące), Program Matlab Simulink z biblioteką Simscape",29380,8,0,Iwona Niewiadomska,mgr inż.,"Politechnika Łódzka",łódzkie
2011/01/N/ST8/06900,PRELUDIUM,1,ST8,57120,22,2,Uwzględnienie nierównoległości charakterystyk zmęczeniowych na zginanie i skręcanie przy wyznaczaniu trwałości zmęczeniowej,4,1,5,,0,0,0,Marta Kurek,dr inż.,"Politechnika Opolska",opolskie
2011/01/N/ST8/06904,PRELUDIUM,1,ST8,90600,30,2,Algorytm oceny trwałości zmęczeniowej elementów maszyn i konstrukcji wykonanych z bimetali zgrzewanych wybuchowo na podstawie charakterystyk zmęczeniowych materiałów podstawowych bimetalu,2,3,4,,0,0,1,Andrzej Kurek,dr inż.,"Politechnika Opolska",opolskie
2011/01/N/ST8/07054,PRELUDIUM,1,ST8,60000,24,5,Badanie wpływ rozdrobnienia struktury na właściwości wytrzymałościowe i tłumiące stopów Zn-Al.,1,0,6,,0,0,1,Grzegorz Piwowarski,dr inż.,"Akademia Górniczo-Hutnicza w Krakowie",małopolskie
2011/01/N/ST8/07077,PRELUDIUM,1,ST8,106500,26,2,Wpływ morfologii austenitu na produkty indukowanej odkształceniem przemiany ferrytycznej,1,0,1,,0,0,1,Dominik Dziedzic,mgr inż.,"Akademia Górniczo-Hutnicza w Krakowie",małopolskie
2011/01/N/ST8/07213,PRELUDIUM,1,ST8,71500,17,2,Wpływ warunków cieplnych procesu zgrzewania wibracyjnego na zawartość fazy krystalicznej w zgrzeinie oraz orientację włókien szklanych w obszarze zgrzewania kompozytu PA66 wzmacnianego włóknami szklanymi.,1,0,3,,0,0,0,Aleksandra Węglowska,mgr inż.,"Instytut Spawalnictwa",śląskie
2011/01/N/ST8/07347,PRELUDIUM,1,ST8,59800,24,2,Badanie mikro samolotu ze skrzydłem pasmowym i śmigłem pchającym,1,0,0,,0,0,1,Jacek Mieloszyk,dr inż.,"Politechnika Warszawska",mazowieckie
