,type,edition,subpanel_code,budget_numeric,duration_numeric,coinvestigators_numeric
131,PRELUDIUM,1,HS5,119250,30,1
132,PRELUDIUM,1,HS5,87755,20,6
133,PRELUDIUM,1,HS5,29900,18,2
134,PRELUDIUM,1,HS5,49810,24,2
135,PRELUDIUM,1,HS5,13440,20,2
136,PRELUDIUM,1,HS5,77000,18,2
137,PRELUDIUM,1,HS6,38121,24,5
138,PRELUDIUM,1,HS6,49200,24,6
139,PRELUDIUM,1,HS6,63720,36,6
140,PRELUDIUM,1,HS6,86355,14,2
141,PRELUDIUM,1,HS6,39480,13,7
142,PRELUDIUM,1,HS6,50000,24,3
143,PRELUDIUM,1,HS6,77222,29,2
144,PRELUDIUM,1,HS6,29508,22,6
145,PRELUDIUM,1,HS6,35360,20,3
146,PRELUDIUM,1,HS6,28498,12,2
147,PRELUDIUM,1,HS6,58960,30,12
148,PRELUDIUM,1,HS6,49335,30,4
149,PRELUDIUM,1,HS6,50000,24,3
150,PRELUDIUM,1,HS6,37925,24,2
151,PRELUDIUM,1,HS6,52090,24,3
152,PRELUDIUM,1,HS6,116500,27,3
153,PRELUDIUM,1,HS6,100920,18,2
154,PRELUDIUM,1,HS6,39750,12,2
155,PRELUDIUM,1,HS6,126000,24,2
156,PRELUDIUM,1,HS6,54728,24,3
157,PRELUDIUM,1,HS6,87939,16,4
158,PRELUDIUM,1,HS6,40714,20,2
159,PRELUDIUM,1,HS6,132000,36,2
160,PRELUDIUM,1,HS6,115200,24,2
161,PRELUDIUM,1,HS6,167000,36,6
162,PRELUDIUM,1,HS6,31390,17,2
163,PRELUDIUM,1,HS6,29000,20,2
164,PRELUDIUM,1,HS6,43200,18,2
165,PRELUDIUM,1,HS6,63800,21,1
166,PRELUDIUM,1,HS6,135070,36,8
167,PRELUDIUM,1,HS6,38712,12,2
168,PRELUDIUM,1,NZ1,134900,12,2
169,PRELUDIUM,1,NZ1,49920,24,2
170,PRELUDIUM,1,NZ1,192000,24,2
171,PRELUDIUM,1,NZ1,99840,18,2
172,PRELUDIUM,1,NZ1,100000,18,2
173,PRELUDIUM,1,NZ1,99450,36,2
174,PRELUDIUM,1,NZ1,180000,31,2
175,PRELUDIUM,1,NZ1,125000,36,3
176,PRELUDIUM,1,NZ1,120000,36,3
177,PRELUDIUM,1,NZ1,57750,15,2
178,PRELUDIUM,1,NZ1,70000,18,1
179,PRELUDIUM,1,NZ1,91120,24,2
180,PRELUDIUM,1,NZ1,108200,24,3
181,PRELUDIUM,1,NZ1,90000,36,2
182,PRELUDIUM,1,NZ1,255000,36,2
183,PRELUDIUM,1,NZ1,100000,18,2
184,PRELUDIUM,1,NZ1,128000,36,2
185,PRELUDIUM,1,NZ1,99970,24,3
186,PRELUDIUM,1,NZ1,275600,36,4
187,PRELUDIUM,1,NZ1,117000,30,1
188,PRELUDIUM,1,NZ2,64540,24,2
189,PRELUDIUM,1,NZ2,49920,18,2
190,PRELUDIUM,1,NZ2,245000,24,2
191,PRELUDIUM,1,NZ2,181100,24,2
192,PRELUDIUM,1,NZ2,65390,10,2
193,PRELUDIUM,1,NZ2,76999,24,2
194,PRELUDIUM,1,NZ2,68000,21,2
195,PRELUDIUM,1,NZ2,75550,24,2
196,PRELUDIUM,1,NZ2,110630,18,2
197,PRELUDIUM,1,NZ2,91000,24,3
198,PRELUDIUM,1,NZ2,128520,12,6
199,PRELUDIUM,1,NZ2,94800,24,2
200,PRELUDIUM,1,NZ2,375000,36,5
201,PRELUDIUM,1,NZ2,94800,24,3
202,PRELUDIUM,1,NZ2,99999,26,2
203,PRELUDIUM,1,NZ2,106600,12,2
204,PRELUDIUM,1,NZ2,99970,24,2
205,PRELUDIUM,1,NZ2,120000,24,2
206,PRELUDIUM,1,NZ2,85416,18,2
207,PRELUDIUM,1,NZ3,86160,13,2
208,PRELUDIUM,1,NZ3,107864,24,2
209,PRELUDIUM,1,NZ3,50000,12,2
210,PRELUDIUM,1,NZ3,210000,36,6
211,PRELUDIUM,1,NZ3,210000,36,3
212,PRELUDIUM,1,NZ3,50000,36,2
213,PRELUDIUM,1,NZ3,140000,24,2
214,PRELUDIUM,1,NZ3,128600,24,2
215,PRELUDIUM,1,NZ3,49200,24,2
216,PRELUDIUM,1,NZ3,254020,36,3
217,PRELUDIUM,1,NZ3,96000,24,2
218,PRELUDIUM,1,NZ3,120000,24,2
219,PRELUDIUM,1,NZ3,180000,36,2
220,PRELUDIUM,1,NZ3,150000,24,2
221,PRELUDIUM,1,NZ4,197510,30,6
222,PRELUDIUM,1,NZ4,95140,24,4
223,PRELUDIUM,1,NZ4,115300,24,2
224,PRELUDIUM,1,NZ4,102500,24,2
225,PRELUDIUM,1,NZ4,86380,36,4
226,PRELUDIUM,1,NZ4,86320,36,2
227,PRELUDIUM,1,NZ4,90000,24,2
228,PRELUDIUM,1,NZ4,167700,24,2
229,PRELUDIUM,1,NZ4,166300,24,2
230,PRELUDIUM,1,NZ4,75600,18,2
231,PRELUDIUM,1,NZ4,144000,36,3
232,PRELUDIUM,1,NZ4,87360,24,2
233,PRELUDIUM,1,NZ4,124740,24,2
234,PRELUDIUM,1,NZ4,195100,24,4
235,PRELUDIUM,1,NZ4,121000,18,5
236,PRELUDIUM,1,NZ4,100000,31,9
237,PRELUDIUM,1,NZ4,75400,28,4
238,PRELUDIUM,1,NZ4,52585,24,2
239,PRELUDIUM,1,NZ4,109270,24,2
240,PRELUDIUM,1,NZ4,238000,24,4
241,PRELUDIUM,1,NZ4,50000,36,2
242,PRELUDIUM,1,NZ4,190450,25,2
243,PRELUDIUM,1,NZ4,300000,36,3
244,PRELUDIUM,1,NZ4,60000,36,2
245,PRELUDIUM,1,NZ4,79472,15,2
246,PRELUDIUM,1,NZ4,51000,24,2
247,PRELUDIUM,1,NZ4,48000,24,2
248,PRELUDIUM,1,NZ4,180000,24,2
249,PRELUDIUM,1,NZ4,230000,24,2
250,PRELUDIUM,1,NZ4,235560,36,3
251,PRELUDIUM,1,NZ4,200000,36,2
252,PRELUDIUM,1,NZ4,195190,20,5
253,PRELUDIUM,1,NZ5,125000,36,2
254,PRELUDIUM,1,NZ5,186310,36,5
255,PRELUDIUM,1,NZ5,99875,24,2
256,PRELUDIUM,1,NZ5,88000,24,4
257,PRELUDIUM,1,NZ5,202500,30,3
258,PRELUDIUM,1,NZ5,157839,36,6
259,PRELUDIUM,1,NZ5,119920,18,3
260,PRELUDIUM,1,NZ5,63125,24,3
261,PRELUDIUM,1,NZ5,199000,20,8
262,PRELUDIUM,1,NZ5,171599,30,3
263,PRELUDIUM,1,NZ5,123750,36,3
264,PRELUDIUM,1,NZ5,65400,24,2
265,PRELUDIUM,1,NZ5,204100,36,2
266,PRELUDIUM,1,NZ5,50200,24,2
267,PRELUDIUM,1,NZ5,103200,18,2
268,PRELUDIUM,1,NZ5,1122400,36,5
269,PRELUDIUM,1,NZ5,163800,30,6
270,PRELUDIUM,1,NZ5,29640,24,2
271,PRELUDIUM,1,NZ6,75000,20,3
272,PRELUDIUM,1,NZ6,196800,28,2
273,PRELUDIUM,1,NZ6,160000,36,4
274,PRELUDIUM,1,NZ6,195000,36,2
275,PRELUDIUM,1,NZ6,313000,36,2
276,PRELUDIUM,1,NZ6,116300,24,2
277,PRELUDIUM,1,NZ6,458750,36,5
278,PRELUDIUM,1,NZ7,91320,18,2
279,PRELUDIUM,1,NZ7,250680,30,2
280,PRELUDIUM,1,NZ7,53800,18,3
281,PRELUDIUM,1,NZ7,189650,24,2
282,PRELUDIUM,1,NZ7,85125,36,2
283,PRELUDIUM,1,NZ7,132080,24,2
284,PRELUDIUM,1,NZ7,52000,12,2
285,PRELUDIUM,1,NZ7,69400,24,2
286,PRELUDIUM,1,NZ7,143000,24,3
287,PRELUDIUM,1,NZ7,295920,24,2
288,PRELUDIUM,1,NZ7,288000,36,8
289,PRELUDIUM,1,NZ7,45175,14,2
290,PRELUDIUM,1,NZ7,72000,12,3
291,PRELUDIUM,1,NZ7,136600,12,4
292,PRELUDIUM,1,NZ7,318140,36,4
293,PRELUDIUM,1,NZ7,141600,18,3
294,PRELUDIUM,1,NZ7,142200,30,2
295,PRELUDIUM,1,NZ8,116360,18,2
296,PRELUDIUM,1,NZ8,247100,36,3
297,PRELUDIUM,1,NZ8,129103,30,2
298,PRELUDIUM,1,NZ8,40000,24,2
299,PRELUDIUM,1,NZ8,199530,36,2
300,PRELUDIUM,1,NZ8,75000,12,2
301,PRELUDIUM,1,NZ8,161200,24,4
302,PRELUDIUM,1,NZ8,98913,24,3
303,PRELUDIUM,1,NZ8,172800,24,2
304,PRELUDIUM,1,NZ8,127000,24,2
305,PRELUDIUM,1,NZ8,52650,18,2
306,PRELUDIUM,1,NZ8,49990,36,2
307,PRELUDIUM,1,NZ8,45695,24,2
308,PRELUDIUM,1,NZ8,125315,24,2
309,PRELUDIUM,1,NZ8,64121,36,2
310,PRELUDIUM,1,NZ8,69550,24,2
311,PRELUDIUM,1,NZ8,141700,36,2
312,PRELUDIUM,1,NZ8,168755,36,2
313,PRELUDIUM,1,NZ8,190685,32,3
314,PRELUDIUM,1,NZ8,65000,24,2
315,PRELUDIUM,1,NZ8,119860,36,2
316,PRELUDIUM,1,NZ9,100453,20,2
317,PRELUDIUM,1,NZ9,70000,18,4
318,PRELUDIUM,1,NZ9,237200,36,1
319,PRELUDIUM,1,NZ9,105200,12,2
320,PRELUDIUM,1,NZ9,196950,36,5
321,PRELUDIUM,1,NZ9,59352,12,2
322,PRELUDIUM,1,NZ9,142220,24,2
323,PRELUDIUM,1,NZ9,170300,36,2
324,PRELUDIUM,1,NZ9,55250,12,2
325,PRELUDIUM,1,NZ9,214200,36,2
326,PRELUDIUM,1,NZ9,188400,36,2
327,PRELUDIUM,1,NZ9,96250,24,2
328,PRELUDIUM,1,NZ9,59800,13,2
