Id,Descriptors
2012/07/N/HS4/02465,HS4_8
2012/07/N/HS4/02465,HS4_9
2012/07/N/HS4/02654,HS4_8
2012/07/N/HS4/02654,HS4_15
2012/07/N/HS4/02671,HS4_1
2012/07/N/HS4/02671,HS4_6
2012/07/N/HS4/02676,HS4_7
2012/07/N/HS4/02676,HS4_9
2012/07/N/HS4/02736,HS4_3
2012/07/N/HS5/00931,HS5_2
2012/07/N/HS5/00999,HS5_1
2012/07/N/HS6/01457,HS3_11
2012/07/N/HS6/01457,HS4_4
2012/07/N/HS6/01457,HS5_9
2012/07/N/HS6/01472,HS6_1
2012/07/N/HS6/01472,HS6_3
2012/07/N/HS6/01472,HS6_4
2012/07/N/HS6/02552,HS6_1
2013/09/N/HS4/03659,HS4_3
2013/09/N/HS4/03659,HS4_1
2013/09/N/HS3/02348,HS1_11
2013/09/N/HS3/02348,HS3_12
2013/09/N/HS3/02348,HS3_11
2013/09/N/HS4/03761,ST1_18
2013/09/N/HS4/03761,HS4_6
2013/09/N/HS4/03761,HS4_7
2013/11/N/HS2/03506,HS2_1
2013/09/N/HS5/00276,HS5_7
2013/09/N/HS4/03766,HS4_6
2013/09/N/HS4/03766,HS4_1
2013/09/N/HS4/03766,HS4_3
2013/09/N/HS4/03868,HS4_8
2013/09/N/HS6/00435,HS6_13
2013/09/N/HS6/00435,HS6_15
2013/09/N/HS6/00435,HS6_16
2013/09/N/HS1/00902,HS1_4
2013/09/N/HS1/00902,HS1_3
2013/09/N/HS2/02116,HS2_9
2013/09/N/HS2/02116,HS2_8
2013/09/N/HS2/02116,HS2_10
2013/09/N/HS2/02213,HS2_1
2013/09/N/HS2/02213,HS2_2
2013/09/N/HS2/02213,HS2_14
2013/09/N/HS3/02621,HS3_2
2013/09/N/HS3/02621,HS3_1
2013/09/N/HS3/02621,HS3_3
2013/09/N/HS3/02882,HS3_8
2013/09/N/HS3/02882,HS3_12
2013/09/N/HS4/03645,HS4_3
2013/09/N/HS4/03790,HS4_8
2013/09/N/HS4/03790,HS6_15
2013/09/N/HS4/03833,HS4_3
2013/09/N/HS4/03833,HS4_2
2013/09/N/HS4/03861,HS4_8
2013/09/N/HS5/00055,HS5_7
2013/09/N/HS5/02934,HS5_3
2013/09/N/HS5/02934,HS5_2
2013/09/N/HS5/02934,HS5_5
2013/09/N/HS5/04476,HS5_7
2013/09/N/HS5/04476,HS5_11
2013/11/N/HS1/04805,HS1_3
2013/11/N/HS1/04805,HS1_2
2013/11/N/HS1/04805,HS1_4
2014/13/N/HS3/04602,HS3_8
2014/13/N/HS3/04602,NZ5_7
2013/11/N/HS1/04812,HS1_1
2013/11/N/HS1/04812,HS1_10
2013/11/N/HS1/04812,HS1_16
2014/13/N/HS4/02954,HS4_6
2014/13/N/HS4/02954,HS4_8
2014/15/N/HS2/03844,HS2_12
2014/15/N/HS2/03844,HS2_14
2014/13/N/HS2/02879,HS2_9
2014/13/N/HS2/02879,HS2_8
2013/11/N/HS4/02439,HS4_8
2013/11/N/HS4/02439,HS4_7
2014/15/N/HS2/03863,HS2_12
2014/15/N/HS2/03863,HS2_14
2014/15/N/HS3/01372,HS3_5
2014/15/N/HS3/01372,HS3_9
2014/15/N/HS3/01372,HS3_2
